glyph,phonetic,family,pinyin,cantonese,on,kun,korean,vietnamese
㚈,,,,,,,,
㚉,,,gǔ,gu2,,,,
㚊,亥,亥,kāi,hoi1,,,,
㚋,,,diāo,diu1 niu5 seoi4 to5,,,,
㚌,,,huà,fo2 lo2,,,,
㚍,貴,臾,kuǐ,fai3,,,,
㚎,,,,,,,,
㚏,,,gǎo,gou2 zyu5,,,,
㚐,,,tào,tou3 zou6,,,,
㚑,,,,,,,,
㚒,,,shǎn,sim2 sin2,,,,
㚓,,,lǎi,loi4 loi4,,,,
㚔,,,niè,nip6,,,,
㚕,,,fú,faat1,,,,
㚖,,,gǎo,gou2,,,,
㚗,,,qié,ce4 wu1,,,,
㚘,0,㚘,bàn,bun6,,,,
㚙,,,jiā,gaa1,,,,
㚚,名,名,kōng,kwang1,,,,
㚛,旨,匕,xì,,,,,
㚜,,,yù,wik6,,,,
㚝,佳,圭,zhuī,fui1 teoi4 waai2,,,,
㚞,,,shěn,,,,,
㚟,㲋,㲋,chuò,,,,,
㚠,羔,羔,xiāo,hiu1,,,,
㚡,,,jǐ,,,,,
㚢,,,nú,nou4,,,,
㚣,,,xiáo,gaau2 haau4,,,,
㚤,,,yì,zik6,,,,
㚥,于,于,yú,zyu1,,,,
㚦,丌,丌,yí,gei1,,,,
㚧,,,yǎn,ngam4 zim5,,,,
㚨,卂,卂,shěn,,,,,
㚩,冄,冄,rǎn,zim5,,,,
㚪,,,hào,hou3,,,,
