glyph,phonetic,pinyin,cantonese,on,kun,korean,vietnamese
㙋,,,,,,,
㙌,肃,,,,,,
㙍,叕,duō,do1,,,,
㙎,威,wēi,wai1,,,,
㙏,复,fù,fuk1,,,,
㙐,耑,duǒ,deoi2 do2,,,,
㙑,禹,yǔ,zyu5,,,,
㙒,,yě,ze5 zi2,,,,
㙓,垚,kuí,,,,,
㙔,,wěi,hon4,,,,
㙕,胃,kuài,faai3,,,,
㙖,,,,,,,
㙗,畏,wēi,fai3,,,,
㙘,要,yāo,ziu1,,,,
㙙,浝,lǒng,lung5,,,,
㙚,,xīng,sing1,,,,
㙛,尃,bǔ,bou2,,,,
㙜,,chí,ci4 toi4,,,,
㙝,脅,xié,hip3,,,,
㙞,臬,niè,nip6 saan1 zit6,,,,
㙟,朗,lǎng,long5,,,,
㙠,殹,yī,aai3,,,,
㙡,從,zōng,zung1,,,,
㙢,㒼,mán,man6 mang6,,,,
㙣,張,zhàng,zoeng3,,,,
㙤,虖,xià,laa3,,,,hố
㙥,袞,gùn,gwaan2 waan6 wat6,,,,
㙦,斜,xié,,,,,
㙧,畱,,,,,,
㙨,幾,jì,gei1,,,,
㙩,尞,liáo,laau6 liu4 liu4,,,,
㙪,壹,yì,zi3,,,,
㙫,集,jí,zap6,,,,
㙬,猌,yín,ngaan4,,,,
㙭,,,,,,,
㙮,答,dā,taap3,,,,đắp
㙯,埶,yì,ngaai6,,,예,
㙰,解,xiè,hai6,,,,
㙱,號,hào,hou6,,,,
㙲,雍,yǒng,zung1,,,,
㙳,感,kǎn,ham2,,,,
㙴,詹,chàn,cim1,,,,thềm
㙵,㙜,tái,toi4,,,,
㙶,堂,táng,tong4,,,,
㙷,㬎,zhí,zik6,,,,
㙸,僕,bào,buk6,,,,
㙹,夢,méng,mung4,,,,
㙺,匱,kuí,gwaai6,,,,
㙻,廛,chán,cin4,,,,
㙼,畾,lěi,leoi5,,,,
㙽,奭,,,,,,
㙾,學,xì,hok6,,,,
㙿,,,,,,,
㚀,戲,xī,hei1,,,,
㚁,,qiào,kiu4,,,,
㚂,囊,nàng,zoeng4,,,,
㚃,,yūn,wan1,,,,
㚄,,,,,,,
㚅,,lóng,lung4,,,,
㚆,,fù,fuk6 fuk6,,,,
㚇,兇,zōng,zuk1 zung1,,,,
㚈,,,,,,,
㚉,,gǔ,gu2,,,,
㚊,亥,kāi,hoi1,,,,
㚋,,diāo,diu1 niu5 seoi4 to5,,,,
㚌,,huà,fo2 lo2,,,,
㚍,貴,kuǐ,fai3,,,,
㚎,,,,,,,
㚏,,gǎo,gou2 zyu5,,,,
㚐,,tào,tou3 zou6,,,,
㚑,,,,,,,
㚒,,shǎn,sim2 sin2,,,,
㚓,,lǎi,loi4 loi4,,,,
㚔,,niè,nip6,,,,
㚕,,fú,faat1,,,,
㚖,,gǎo,gou2,,,,
㚗,,qié,ce4 wu1,,,,
㚘,0,bàn,bun6,,,,
㚙,,jiā,gaa1,,,,
㚚,名,kōng,kwang1,,,,
㚛,旨,xì,,,,,
㚜,,yù,wik6,,,,
㚝,佳,zhuī,fui1 teoi4 waai2,,,,
㚞,,shěn,,,,,
㚟,㲋,chuò,,,,,
㚠,羔,xiāo,hiu1,,,,
㚡,,jǐ,,,,,
㚢,,nú,nou4,,,,
㚣,,xiáo,gaau2 haau4,,,,
㚤,,yì,zik6,,,,
㚥,于,yú,zyu1,,,,
㚦,丌,yí,gei1,,,,
㚧,,yǎn,ngam4 zim5,,,,
㚨,卂,shěn,,,,,
㚩,冄,rǎn,zim5,,,,
㚪,,hào,hou3,,,,
㚫,,sà,saap3,,,,
㚬,匀,jūn,gwan1,,,,
㚭,,yóu,zaau4,,,,
㚮,冗,,daam1,,,,
㚯,風,xín,cam4,,,,
㚰,丕,pēi,pui1,,,,
㚱,丘,qiū,zaau1,,,,
㚲,,chān,sim1,,,,
㚳,,,o1,,,,
㚴,布,bù,bou3,,,,
㚵,冬,dōng,dung1,,,,
㚶,㠯,sì,ci5,,,,
㚷,,ěr,nai5,,,,
㚸,司,,si1,,,,
㚹,卯,mǎo,mau5,,,,
㚺,孕,yùn,zaan6,,,,
㚻,,jī,gei1,,,,
㚼,,,naau2,,,,
㚽,巧,qiǎo,haau2,,,,
㚾,兄,xiōng,,,,,
㚿,,páo,pau4,,,,
㛀,刍,chú,,,,,
㛁,平,pēng,ping1,,,,
㛂,,nuǒ,,,,,
㛃,㓞,jié,git3,,,결,
㛄,,yī,zi1,,,의,
㛅,,èr,nei6,,,이,
㛆,朶,duò,do2,,,,
㛇,庄,,zong1,,,,
㛈,考,,haau2,,,,
㛉,,,,,,,
㛊,朵,duǒ,do2,,,,
㛋,,,,,,,
㛌,,,,,,,
㛍,,qiè,hap6,,,,
㛎,吕,lǚ,leoi5,,,,
㛏,,qiú,kau4,,,,
㛐,更,sǒu,sou2,,,,
㛑,,càn,caan3,,,,
㛒,,dòu,daau2 daau6 zaau6,,,,
㛓,希,xī,ci1 dou1 hei1,,,,
㛔,夆,fēng,fung1,,,,
㛕,,yì,zaap1,,,,
㛖,,suō,so1 zo6,,,,
㛗,坐,qiē,so1,,,,
㛘,孛,pò,but6,,,,
㛙,,xīn,san1,,,,
㛚,甬,tǒng,tung2,,,,
㛛,,xìn,saan1 zaan3,,,,
㛜,攸,yóu,zaau4,,,,
㛝,,bèi,bui3,,,,
㛞,弄,lòng,lung6,,,,
㛟,奂,,,,,,
㛠,间,,,,,,
㛡,完,,wan6,,,,
㛢,秀,,sau3,,,,
㛣,員,yún,,,,,
㛤,丽,lí,,,,,
㛥,沓,tà,dap6,,,,
㛦,,lǎn,lam5,,,람,
㛧,岩,mǎn,mun5,,,,
㛨,羌,qiǎng,goeng2,,,,
㛩,育,zhóu,zuk6,,,,
㛪,奄,yàn,aam1 gim1 him1 zim1,,,,em
㛫,,xī,sek3,,,,
㛬,坴,lù,luk6,,,,
㛭,昔,xī,sik1 sim3,,,,
㛮,叜,sǎo,sou2,,,,
㛯,勉,fàn,min5,,,,
㛰,昬,,fan1,,,,
㛱,畏,wěi,wui2,,,,
㛲,,fà,faat3,,,,
㛳,帝,yì,zaai6 zaam3,,,,
㛴,,nǎo,nou5 zyun5,,,,
㛵,爯,chēng,cing1,,,,
